name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Lincoln,Nebraska,40.8,-96.667,2025-08-03,78.1,59.5,13.4,0.0,77,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-04,84.2,59.0,13.9,0.0,79,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-05,79.3,64.6,18.8,0.75,82,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-06,94.1,70.7,19.7,0.0,71,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-07,95.9,72.5,15.9,0.0,69,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-08,102.4,73.8,20.1,0.0,63,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-09,85.5,75.0,17.7,0.0,78,300619
Charleston,South Carolina,32.776,-79.931,2025-08-03,86.7,72.7,12.1,0.0,69,157665
Charleston,South Carolina,32.776,-79.931,2025-08-04,79.7,77.9,11.0,0.19,79,157665
Charleston,South Carolina,32.776,-79.931,2025-08-05,91.6,74.7,11.9,3.9,80,157665
Charleston,South Carolina,32.776,-79.931,2025-08-06,85.8,80.2,11.9,0.91,80,157665
Charleston,South Carolina,32.776,-79.931,2025-08-07,85.3,77.7,11.0,0.89,79,157665
Charleston,South Carolina,32.776,-79.931,2025-08-08,80.6,77.0,9.8,0.52,84,157665
Charleston,South Carolina,32.776,-79.931,2025-08-09,83.7,77.9,10.7,0.92,81,157665
Bismarck,North Dakota,46.808,-100.783,2025-08-03,75.9,62.2,13.0,0.0,84,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-04,84.6,64.6,13.2,0.0,78,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-05,76.6,64.9,15.2,0.68,82,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-06,89.8,66.0,8.3,0.0,60,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-07,94.3,69.4,16.6,1.44,69,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-08,69.3,63.3,15.0,2.53,90,77772
Bismarck,North Dakota,46.808,-100.783,2025-08-09,77.7,57.9,21.9,0.0,64,77772
Montgomery,Alabama,32.367,-86.3,2025-08-03,83.7,75.9,11.9,3.57,86,195818
Montgomery,Alabama,32.367,-86.3,2025-08-04,72.3,69.4,11.9,2.91,92,195818
Montgomery,Alabama,32.367,-86.3,2025-08-05,86.5,74.5,9.2,0.0,82,195818
Montgomery,Alabama,32.367,-86.3,2025-08-06,89.6,72.0,7.4,0.0,81,195818
Montgomery,Alabama,32.367,-86.3,2025-08-07,91.8,74.7,7.4,0.0,76,195818
Montgomery,Alabama,32.367,-86.3,2025-08-08,90.7,75.2,11.6,0.0,71,195818
Montgomery,Alabama,32.367,-86.3,2025-08-09,90.0,75.0,10.3,0.0,66,195818
Des Moines,Iowa,41.601,-93.609,2025-08-03,77.2,56.7,10.3,0.0,76,213096
Des Moines,Iowa,41.601,-93.609,2025-08-04,78.6,59.4,9.2,0.0,76,213096
Des Moines,Iowa,41.601,-93.609,2025-08-05,79.9,65.3,9.6,0.0,80,213096
Des Moines,Iowa,41.601,-93.609,2025-08-06,86.0,63.9,13.0,0.0,80,213096
Des Moines,Iowa,41.601,-93.609,2025-08-07,86.4,67.1,16.6,4.2,85,213096
Des Moines,Iowa,41.601,-93.609,2025-08-08,96.1,73.2,19.0,0.0,79,213096
Des Moines,Iowa,41.601,-93.609,2025-08-09,87.4,77.7,18.8,0.0,80,213096
Austin,Texas,30.267,-97.743,2025-08-03,101.7,77.2,13.2,0.0,63,993588
Austin,Texas,30.267,-97.743,2025-08-04,95.9,78.6,11.2,0.0,61,993588
Austin,Texas,30.267,-97.743,2025-08-05,100.4,76.8,13.9,0.0,68,993588
Austin,Texas,30.267,-97.743,2025-08-06,100.2,75.6,12.3,0.0,62,993588
Austin,Texas,30.267,-97.743,2025-08-07,100.8,77.0,13.2,0.0,59,993588
Austin,Texas,30.267,-97.743,2025-08-08,95.4,78.1,15.2,0.0,60,993588
Austin,Texas,30.267,-97.743,2025-08-09,97.0,77.7,17.9,0.0,61,993588
Topeka,Kansas,39.048,-95.678,2025-08-03,79.9,58.8,11.2,0.0,73,125467
Topeka,Kansas,39.048,-95.678,2025-08-04,86.0,61.7,10.7,0.0,72,125467
Topeka,Kansas,39.048,-95.678,2025-08-05,88.7,60.8,13.9,0.0,75,125467
Topeka,Kansas,39.048,-95.678,2025-08-06,94.8,66.9,18.6,0.0,70,125467
Topeka,Kansas,39.048,-95.678,2025-08-07,98.2,75.9,22.4,0.0,64,125467
Topeka,Kansas,39.048,-95.678,2025-08-08,99.5,75.9,27.5,0.0,65,125467
Topeka,Kansas,39.048,-95.678,2025-08-09,102.2,80.1,22.6,0.0,59,125467
Jacksonville,Florida,30.332,-81.656,2025-08-03,86.4,77.4,6.7,1.3,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-04,88.9,76.1,10.7,0.0,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-05,95.7,79.3,10.3,1.19,84,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-06,91.0,76.1,10.5,1.0,86,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-07,87.6,79.3,8.1,0.0,83,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-08,84.6,78.3,10.3,0.61,83,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-09,83.5,75.7,10.1,0.28,87,1009833
Columbia,South Carolina,34.001,-81.035,2025-08-03,77.5,71.1,10.7,0.0,70,144788
Columbia,South Carolina,34.001,-81.035,2025-08-04,79.9,69.8,10.1,0.0,68,144788
Columbia,South Carolina,34.001,-81.035,2025-08-05,82.8,66.4,7.6,0.46,90,144788
Columbia,South Carolina,34.001,-81.035,2025-08-06,81.3,72.5,8.7,1.4,85,144788
Columbia,South Carolina,34.001,-81.035,2025-08-07,80.8,71.2,8.5,0.15,85,144788
Columbia,South Carolina,34.001,-81.035,2025-08-08,75.7,70.5,11.2,0.14,92,144788
Columbia,South Carolina,34.001,-81.035,2025-08-09,83.8,72.1,10.1,0.55,83,144788
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-03,82.8,69.4,13.0,0.52,73,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-04,86.9,70.5,10.1,0.41,72,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-05,97.3,71.8,13.2,0.0,64,712919
Oklahoma City,Oklahoma,35.468,-97.516,2025-08-06,98.1,73.2,18.6,0.0,61,712919
