name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Honolulu,Hawaii,21.307,-157.858,2025-08-06,82.0,74.8,14.3,0.02,75,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-07,82.6,75.9,18.3,0.02,77,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-08,81.3,75.2,18.6,0.0,71,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-09,82.6,75.0,11.9,0.01,69,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-10,80.4,75.2,6.7,0.04,72,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-11,82.6,75.0,7.2,0.01,74,344967
Honolulu,Hawaii,21.307,-157.858,2025-08-12,83.3,76.6,16.8,0.0,70,344967
Topeka,Kansas,39.048,-95.678,2025-08-06,94.8,66.9,18.6,0.0,70,125467
Topeka,Kansas,39.048,-95.678,2025-08-07,98.2,75.9,22.4,0.0,64,125467
Topeka,Kansas,39.048,-95.678,2025-08-08,99.5,75.9,27.5,0.0,65,125467
Topeka,Kansas,39.048,-95.678,2025-08-09,102.2,80.1,22.6,0.0,59,125467
Topeka,Kansas,39.048,-95.678,2025-08-10,90.0,75.9,23.9,1.24,76,125467
Topeka,Kansas,39.048,-95.678,2025-08-11,82.2,68.4,12.1,9.62,90,125467
Topeka,Kansas,39.048,-95.678,2025-08-12,89.8,67.5,15.0,0.0,81,125467
Des Moines,Iowa,41.601,-93.609,2025-08-06,86.0,63.9,13.0,0.0,80,213096
Des Moines,Iowa,41.601,-93.609,2025-08-07,86.4,67.1,16.6,4.2,85,213096
Des Moines,Iowa,41.601,-93.609,2025-08-08,96.1,73.2,19.0,0.0,79,213096
Des Moines,Iowa,41.601,-93.609,2025-08-09,87.4,77.7,18.8,0.0,80,213096
Des Moines,Iowa,41.601,-93.609,2025-08-10,81.0,75.4,14.5,3.3,91,213096
Des Moines,Iowa,41.601,-93.609,2025-08-11,77.7,66.7,8.9,0.35,93,213096
Des Moines,Iowa,41.601,-93.609,2025-08-12,84.9,67.3,8.9,0.76,87,213096
Charleston,South Carolina,32.776,-79.931,2025-08-06,85.8,80.2,11.9,0.91,80,157665
Charleston,South Carolina,32.776,-79.931,2025-08-07,85.3,77.7,11.0,0.89,79,157665
Charleston,South Carolina,32.776,-79.931,2025-08-08,80.6,77.0,9.8,0.52,84,157665
Charleston,South Carolina,32.776,-79.931,2025-08-09,83.7,77.9,10.7,0.92,81,157665
Charleston,South Carolina,32.776,-79.931,2025-08-10,83.3,77.9,15.0,1.23,81,157665
Charleston,South Carolina,32.776,-79.931,2025-08-11,79.3,77.7,11.6,4.6,92,157665
Charleston,South Carolina,32.776,-79.931,2025-08-12,88.5,80.2,10.1,0.0,81,157665
Saint Paul,Minnesota,44.944,-93.093,2025-08-06,83.7,67.1,14.8,0.0,75,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-07,88.7,68.2,13.0,0.0,77,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-08,90.9,70.0,16.3,0.0,83,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-09,84.7,76.8,12.3,0.0,78,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-10,84.4,67.6,9.6,0.0,81,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-11,82.8,69.1,7.4,0.0,67,307465
Saint Paul,Minnesota,44.944,-93.093,2025-08-12,83.7,67.5,12.3,0.0,76,307465
Jefferson City,Missouri,38.577,-92.173,2025-08-06,91.2,68.2,8.3,0.0,70,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-07,93.6,70.5,12.1,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-08,96.4,71.4,16.1,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-09,99.0,73.8,15.7,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-10,93.6,77.7,14.8,0.0,65,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-11,91.0,75.9,10.3,0.0,68,42564
Jefferson City,Missouri,38.577,-92.173,2025-08-12,90.0,73.6,8.9,0.04,70,42564
Lansing,Michigan,42.733,-84.556,2025-08-06,81.0,62.4,9.2,0.0,84,114336
Lansing,Michigan,42.733,-84.556,2025-08-07,83.7,65.3,6.9,0.0,73,114336
Lansing,Michigan,42.733,-84.556,2025-08-08,85.3,68.9,10.3,0.36,77,114336
Lansing,Michigan,42.733,-84.556,2025-08-09,90.5,72.0,15.0,0.0,71,114336
Lansing,Michigan,42.733,-84.556,2025-08-10,89.4,73.9,15.2,0.0,69,114336
Lansing,Michigan,42.733,-84.556,2025-08-11,86.4,73.6,14.5,0.49,73,114336
Lansing,Michigan,42.733,-84.556,2025-08-12,85.8,71.6,21.0,1.65,80,114336
Columbia,South Carolina,34.001,-81.035,2025-08-06,81.3,72.5,8.7,1.4,85,144788
Columbia,South Carolina,34.001,-81.035,2025-08-07,80.8,71.2,8.5,0.15,85,144788
Columbia,South Carolina,34.001,-81.035,2025-08-08,75.7,70.5,11.2,0.14,92,144788
Columbia,South Carolina,34.001,-81.035,2025-08-09,83.8,72.1,10.1,0.55,83,144788
Columbia,South Carolina,34.001,-81.035,2025-08-10,83.3,73.6,13.6,0.69,87,144788
Columbia,South Carolina,34.001,-81.035,2025-08-11,77.9,73.4,6.3,16.73,95,144788
Columbia,South Carolina,34.001,-81.035,2025-08-12,86.2,73.8,5.1,0.18,89,144788
Lincoln,Nebraska,40.8,-96.667,2025-08-06,94.1,70.7,19.7,0.0,71,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-07,95.9,72.5,15.9,0.0,69,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-08,102.4,73.8,20.1,0.0,63,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-09,85.5,75.0,17.7,0.0,78,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-10,82.4,64.0,15.0,0.21,83,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-11,75.9,66.6,9.4,0.16,87,300619
Lincoln,Nebraska,40.8,-96.667,2025-08-12,90.7,57.9,14.3,0.0,78,300619
Cheyenne,Wyoming,41.14,-104.82,2025-08-06,93.2,55.9,21.7,0.0,22,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-07,92.1,61.2,17.2,0.0,26,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-08,87.4,64.4,21.5,0.0,25,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-09,78.8,60.1,12.3,0.2,62,65704
Cheyenne,Wyoming,41.14,-104.82,2025-08-10,72.3,52.3,16.3,0.5,54,65704
