name,state,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity,population
Jacksonville,Florida,30.332,-81.656,2025-07-07,92.4,80.2,7.6,0.13,69,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-08,89.1,79.1,6.5,0.62,73,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-09,83.0,75.3,9.8,1.56,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-10,90.9,78.1,12.5,0.33,78,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-11,93.8,79.2,9.2,0.0,69,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-12,92.0,79.0,6.7,0.41,76,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-13,89.9,78.4,8.3,1.12,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-14,95.7,79.1,10.1,0.42,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-15,84.3,77.4,11.4,0.59,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-16,91.9,76.2,11.6,0.0,82,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-17,91.8,79.0,11.9,0.0,78,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-18,99.1,79.2,9.6,0.0,68,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-19,95.5,81.2,9.4,0.0,70,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-20,101.4,81.7,8.1,0.0,58,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-21,97.9,84.9,11.2,0.0,58,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-22,96.1,78.9,10.1,8.12,86,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-23,88.7,79.5,8.3,0.36,84,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-24,91.7,76.5,11.2,0.0,78,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-25,97.6,79.6,9.6,0.0,69,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-26,96.9,81.3,11.0,0.0,65,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-27,102.3,84.4,11.6,0.0,59,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-28,101.1,86.9,10.1,0.0,54,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-29,99.4,82.9,11.9,0.54,64,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-30,101.7,77.0,10.1,0.05,75,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-31,99.5,81.1,10.5,0.0,67,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-01,100.4,81.1,10.7,0.0,64,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-02,94.3,79.9,10.7,0.69,72,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-03,86.4,77.4,6.7,1.3,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-04,88.9,76.1,10.7,0.0,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-08-05,95.7,79.3,10.3,1.19,84,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-06,90.0,76.3,8.5,0.14,79,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-07,92.4,80.2,7.6,0.13,69,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-08,89.1,79.1,6.5,0.62,73,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-09,83.0,75.3,9.8,1.56,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-10,90.9,78.1,12.5,0.33,78,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-11,93.8,79.2,9.2,0.0,69,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-12,92.0,79.0,6.7,0.41,76,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-13,89.9,78.4,8.3,1.12,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-14,95.7,79.1,10.1,0.42,85,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-15,84.3,77.4,11.4,0.59,89,1009833
Jacksonville,Florida,30.332,-81.656,2025-07-16,91.9,76.2,11.6,0.0,82,1009833
