name,lat,lon,date,maxtemp_f,mintemp_f,maxwind_mph,totalprecip_in,avghumidity
Concord,43.208,-71.538,2025-07-06,89.8,68.7,11.2,0.0,66
Concord,43.208,-71.538,2025-07-07,88.8,71.7,11.9,0.0,74
Concord,43.208,-71.538,2025-07-08,85.5,71.5,6.9,0.12,82
Concord,43.208,-71.538,2025-07-09,68.2,63.5,7.6,1.29,93
Concord,43.208,-71.538,2025-07-10,71.0,62.3,7.6,0.0,90
Concord,43.208,-71.538,2025-07-11,81.1,64.2,7.8,0.0,85
Concord,43.208,-71.538,2025-07-12,70.0,64.3,7.8,0.28,96
Concord,43.208,-71.538,2025-07-13,76.4,63.8,10.5,0.0,91
Concord,43.208,-71.538,2025-07-14,80.7,65.8,6.9,0.64,89
Concord,43.208,-71.538,2025-07-15,86.1,69.8,6.3,0.0,80
Concord,43.208,-71.538,2025-07-16,92.2,67.9,6.3,0.0,69
Concord,43.208,-71.538,2025-07-17,86.1,73.3,8.9,0.16,84
Concord,43.208,-71.538,2025-07-18,78.3,61.1,13.6,0.29,67
Concord,43.208,-71.538,2025-07-19,81.7,54.9,8.1,0.0,61
Concord,43.208,-71.538,2025-07-20,78.3,68.0,8.7,0.57,79
Concord,43.208,-71.538,2025-07-21,74.0,60.5,13.4,0.0,66
Concord,43.208,-71.538,2025-07-22,74.3,52.0,7.2,0.0,59
Concord,43.208,-71.538,2025-07-23,78.7,54.7,6.5,0.0,65
Concord,43.208,-71.538,2025-07-24,89.9,64.4,10.5,0.0,69
Concord,43.208,-71.538,2025-07-25,88.3,71.4,10.5,0.0,75
Concord,43.208,-71.538,2025-07-26,81.8,64.8,5.6,0.0,58
Concord,43.208,-71.538,2025-07-27,74.3,67.0,6.9,0.0,74
Concord,43.208,-71.538,2025-07-28,88.9,71.2,8.5,0.0,70
Concord,43.208,-71.538,2025-07-29,95.3,66.7,11.2,0.0,68
Concord,43.208,-71.538,2025-07-30,90.7,68.9,8.5,0.0,67
Concord,43.208,-71.538,2025-07-31,76.8,63.9,8.5,0.11,66
Concord,43.208,-71.538,2025-08-01,63.9,58.1,6.9,3.08,95
Concord,43.208,-71.538,2025-08-02,79.0,48.4,4.9,0.0,70
Concord,43.208,-71.538,2025-08-03,84.7,57.6,6.0,0.0,61
Concord,43.208,-71.538,2025-08-04,88.3,65.1,4.9,0.0,61
Phoenix,33.448,-112.073,2025-07-06,109.7,82.9,13.2,0.0,21
Phoenix,33.448,-112.073,2025-07-07,110.0,86.8,14.3,0.0,20
Phoenix,33.448,-112.073,2025-07-08,110.9,85.0,13.9,0.0,25
Phoenix,33.448,-112.073,2025-07-09,115.7,87.2,14.5,0.0,19
Phoenix,33.448,-112.073,2025-07-10,111.2,87.8,18.8,0.0,20
Phoenix,33.448,-112.073,2025-07-11,108.4,86.0,18.3,0.0,32
Phoenix,33.448,-112.073,2025-07-12,106.2,83.1,18.6,0.0,27
Phoenix,33.448,-112.073,2025-07-13,107.6,83.8,16.1,0.0,22
Phoenix,33.448,-112.073,2025-07-14,108.0,86.8,15.9,0.0,20
Phoenix,33.448,-112.073,2025-07-15,104.4,85.4,21.3,0.0,30
Phoenix,33.448,-112.073,2025-07-16,98.9,86.2,18.1,0.0,34
Phoenix,33.448,-112.073,2025-07-17,99.8,84.6,10.3,0.0,33
Phoenix,33.448,-112.073,2025-07-18,108.1,84.5,11.0,0.0,27
Phoenix,33.448,-112.073,2025-07-19,108.0,85.2,15.2,0.0,24
Phoenix,33.448,-112.073,2025-07-20,93.7,85.5,14.3,0.0,20
Phoenix,33.448,-112.073,2025-07-21,105.1,81.4,18.3,0.0,27
Phoenix,33.448,-112.073,2025-07-22,102.2,83.9,15.9,0.0,25
Phoenix,33.448,-112.073,2025-07-23,104.7,81.8,10.3,0.16,19
Phoenix,33.448,-112.073,2025-07-24,108.7,79.0,9.4,0.0,14
Phoenix,33.448,-112.073,2025-07-25,108.7,79.9,15.2,0.0,12
Phoenix,33.448,-112.073,2025-07-26,105.8,79.5,11.0,0.0,12
Phoenix,33.448,-112.073,2025-07-27,110.8,82.0,9.2,0.0,12
Phoenix,33.448,-112.073,2025-07-28,110.3,83.5,16.3,0.0,10
Phoenix,33.448,-112.073,2025-07-29,110.2,86.8,10.7,0.0,26
Phoenix,33.448,-112.073,2025-07-30,112.1,84.9,11.9,0.0,20
Phoenix,33.448,-112.073,2025-07-31,112.5,84.2,18.6,0.0,20
Phoenix,33.448,-112.073,2025-08-01,111.9,88.0,11.9,0.0,25
Phoenix,33.448,-112.073,2025-08-02,115.0,87.4,15.2,0.0,15
Phoenix,33.448,-112.073,2025-08-03,112.1,82.2,9.8,0.0,10
Phoenix,33.448,-112.073,2025-08-04,113.0,83.1,11.2,0.0,13
Helena,46.593,-112.035,2025-07-06,77.9,47.6,11.0,0.0,48
Helena,46.593,-112.035,2025-07-07,80.5,51.9,4.3,0.0,43
Helena,46.593,-112.035,2025-07-08,89.4,55.8,15.0,0.0,36
Helena,46.593,-112.035,2025-07-09,91.0,60.7,14.3,0.0,31
Helena,46.593,-112.035,2025-07-10,76.7,54.6,19.0,0.0,47
Helena,46.593,-112.035,2025-07-11,73.9,45.8,7.2,0.0,51
Helena,46.593,-112.035,2025-07-12,82.8,51.8,12.5,0.0,33
